"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %"
"(Intercept)",-3.41438275512919,0.451683071240259,-7.5592444626135,4.05417318573176e-14,-4.3660332257165,-2.58663087604213
"Age",0.474009135685773,0.144527984940671,3.27970486740236,0.00103915731850851,0.196917786043533,0.765429635513684
"Sex",0.164463056368083,0.270280597207644,0.608490058358622,0.542862497640819,-0.363839555937955,0.698127342855012
"CAMSLF",0.185637692162203,0.0368077642466375,5.04343841474049,4.572399763576e-07,0.116465932685125,0.261461548170584
"Scaled_VECAMS_0_15",0.0874678501498164,0.0329109406770897,2.65771346398207,0.00786727500900406,0.0240383033252084,0.153488072719491
