"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %"
"(Intercept)",-6.24060095692419,0.918144106557465,-6.7969732772375,1.06839905349234e-11,-8.30498193982968,-4.66364584736891
"Age",0.271500962721571,0.156993824698326,1.72937351671811,0.0837422666882606,-0.0316939909384698,0.586088973941084
"Sex",0.255872387063137,0.300724497807306,0.850853152732144,0.394850931117366,-0.328408594993643,0.854001972287761
"CAMSLF",0.324851692427835,0.0674502015383866,4.81617081963733,1.46339261369557e-06,0.20638174799147,0.473714028911466
"Scaled_VECAMS_0_15",0.111735422265299,0.0328307334935279,3.40337879710563,0.000665579356293043,0.0482836403270505,0.177407285294654
